DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D0000D,NC1CCN(Cc2cccc(C(=O)NC3CCN(C(=O)c4ccccc4C(=O)O)CC3)c2)CC1,464.566,2.462,5,3,115.97,6,4
D0000E,CC1(C)CC(=O)Nc2ccc(NC(=O)c3cnn(CC4CCN(Cc5ccccc5)CC4)c3)cc21,471.605,3.633,5,2,79.26,6,5
D0000F,CN1CCN(c2cncc(C(=O)N3CCC[C@@H](N4Cc5ccccc5NS4(=O)=O)C3)c2)CC1,470.599,1.139,6,1,89.09,3,5
D0000G,O=C(Cn1c(C2CCOCC2)nc2c(F)cccc21)Nc1cc(F)ccc1N[C@H]1CC[C@H](O)CC1,484.547,3.166,6,3,88.41,6,5
D0000H,NC1CCN(Cc2ccc(C(=O)NC3CCN(Cc4cccc(C(=O)O)c4)CC3)cc2)CC1,450.583,2.666,5,3,98.9,7,4
D0000I,COc1ccccc1C(C(=O)NC1CCN(Cc2ccc(C(=O)O)cc2)CC1)N1CCNCC1,466.582,1.85,6,3,94.14,8,4
D0000J,COc1ccc(-c2nnc3n2CCCN3C(=O)c2ccc(C(=O)N3CCC(N)CC3)cc2)cc1,460.538,5.221,7,1,106.58,4,5
D0000K,NC1CCN(C(=O)c2cccc(C(=O)N3CCN(c4cc(Cl)cc(Cl)c4)CC3)c2)CC1,461.393,4.058,4,1,69.88,3,4
D0000L,COc1ccccc1CC1(NC(=O)c2cnc3cc(C4CCOCC4)nn3c2)CCS(=O)(=O)CC1,498.605,2.211,8,1,111.89,6,5
D0000M,O=C(N[C@H]1CCN(Cc2ccc(Cl)cc2)C1)C1(Cc2cccc(Br)c2)CCOCC1,491.857,4.54,3,1,41.57,6,4
D0000N,O=C(c1cnc(OC2CCOCC2)nc1)N1CCC2(CC1)N=C(c1ccc(F)cc1)NC2=O,453.474,1.652,7,1,106.01,4,5
D0000O,COc1ccccc1CC1(NC(=O)c2cccn3c(C4CC4)nnc23)CCS(=O)(=O)CC1,454.552,4.692,7,1,102.66,6,5
D0000P,O=C(N1CCC2(CC1)C(=O)Nc1cc(Cl)ccc12)C1(Cc2cccc(Br)c2)CCOCC1,517.851,4.091,3,1,58.64,3,5
D0000Q,COc1ccccc1CC1(C(=O)N[C@H]2CC[C@H](N3Cc4ccccc4C3=O)CC2)CCOCC1,462.59,3.63,4,1,67.87,6,5
D0000R,O=C(Nc1cccnc1NCC1CCNCC1)c1cccc(S(=O)(=O)NC2CCNCC2)c1,472.615,1.473,7,5,124.25,8,4
D0000S,O=C(CC1(c2cccc(Br)c2)CCNCC1)NCc1ccc(OCC2CCOCC2)nc1,502.453,3.623,5,2,72.48,8,4
D0000T,O=C(Cn1c(C2CCOCC2)nc2ccc(F)cc21)Nc1cccc(F)c1N[C@H]1CC[C@H](O)CC1,484.547,3.166,6,3,88.41,6,5
D0000U,COc1ccccc1C(C(=O)N1CCC(NS(=O)(=O)c2cccc(C(=O)O)c2)CC1)N1CCNCC1,516.62,1.09,7,3,128.28,8,4
D0000V,O=C(Cn1c(C2CCOCC2)nc2cc(F)ccc21)Nc1cccc(F)c1N[C@H]1CC[C@H](O)CC1,484.547,3.166,6,3,88.41,6,5
D0000W,CC1(C(=O)N2CCC(NS(=O)(=O)c3cccc(C(=O)O)c3)CC2)CCS(=O)(=O)CC1,458.558,0.828,6,2,137.92,5,3
D0000X,Cc1cc(OC2CCCN(C(=O)C3(Cc4cccc(Cl)c4)CCS(=O)(=O)CC3)C2)ncn1,478.014,3.096,6,0,89.46,5,4
D0000Y,N[C@H]1CC[C@H](NCc2cccc(C(=O)N3CCC4(CC3)C(=O)Nc3cc(F)ccc34)c2)CC1,450.558,2.919,4,3,87.46,4,5
D0000Z,O=C(O)c1cccc(C(=O)N2CCC(NC(=O)C3(c4cccc(Br)c4)CCOCC3)CC2)c1,515.404,3.948,4,2,95.94,5,4
D00010,COc1cccnc1OC1CCCN(C(=O)c2cc(F)c(OCC3CCOCC3)c(F)c2)C1,462.493,3.747,6,0,70.12,7,4
D00011,O=C(c1ccn2c(C3CCOCC3)nnc2c1)N1CCCC(N2Cc3c(F)cccc3C2=O)C1,463.513,4.325,6,0,80.04,3,6
D00012,O=C(Cn1c(C2CCOCC2)nc2c(F)cccc21)NC(c1ccc(F)cc1)C1CCOCC1,469.532,3.728,5,1,65.38,6,5
D00013,O=C(c1cn(-c2ccc(Br)cc2)cn1)N1CCC2(CC1)N=C(C1CCC1)NC2=O,456.344,2.778,5,1,79.59,3,5
D00014,NC1CCN(C(=O)c2ccccc2C(=O)N2CCC(NS(=O)(=O)c3cccc(C(=O)O)c3)CC2)CC1,514.604,1.702,6,3,150.11,6,4
D00015,COc1ccccc1CC1(C(=O)NCC2(Cc3cccnc3)CCNCC2)CCS(=O)(=O)CC1,485.65,2.167,6,2,97.39,8,4
D00016,NC1CCN(Cc2ccccc2C(=O)NC2CCN(C(=O)c3cccc(C(=O)O)c3)CC2)CC1,464.566,2.462,5,3,115.97,6,4
D00017,COc1ccc(C2(CC(=O)N3CCCn4c(-c5ccc(F)cc5)nnc43)CCOCC2)cc1,450.514,6.013,6,0,69.48,5,5
D00018,NC1CCN(Cc2cccc(C(=O)N3CCC4(CC3)C(=O)Nc3cc(Br)ccc34)c2)CC1,497.437,3.042,4,2,78.67,3,5
D00019,O=C(N1CCC2(CC1)C(=O)Nc1c(Br)cccc12)C1(Cc2ccc(F)cc2)CCS(=O)(=O)CC1,549.462,3.57,4,1,83.55,3,5
D0001A,O=C(CC1(c2cccc(Br)c2)CCNCC1)N1CC[C@H](Nc2ncnc3ccccc23)C1,494.437,3.549,5,2,70.15,5,5
D0001B,COc1ccccc1CC1(C(=O)Nc2c(F)cccc2N2CCC(C(=O)O)CC2)CCOCC1,470.541,3.259,5,2,88.1,7,4
D0001C,Cc1ccc(C2(CC(=O)Nc3cc(F)ccc3OCC3CCN(C)CC3)CCNCC2)cc1,453.602,3.846,4,2,53.6,7,4
D0001D,O=C(N[C@H]1CC[C@H](NC(=O)C2(Cc3ccc(F)cc3)CCS(=O)(=O)CC2)CC1)C1CCCC1,478.63,3.613,4,2,92.34,6,4
D0001E,COc1ccc2c(c1)COC21CCN(C(=O)CC2(c3ccc(Br)cc3)CCC2)CC1,470.407,4.912,3,0,38.77,4,5
D0001F,O=C(Nc1cc(F)c(OCC2CCOCC2)c(F)c1)C1(Cc2ccc(Cl)cc2)CCS(=O)(=O)CC1,528.017,4.285,5,1,81.7,7,4
D0001G,COc1ccccc1C1(NC(=O)C2(Cc3ccc(Br)cc3)CCOCC2)CCC1,458.396,4.449,3,1,47.56,6,4
D0001H,O=C(Cn1c(C2CCOCC2)nc2c(F)cccc21)N1CCCCC1c1noc(C2CC2)n1,453.518,2.656,7,0,86.28,5,6
D0001I,O=C(Cn1c(C2CC2)nc2cccc(F)c21)N[C@H]1CC[C@H](NC(=O)c2ccccc2Cl)CC1,468.96,4.531,4,2,76.02,6,5
D0001J,O=C(NC1(Cc2ccccc2F)CCC(F)(F)CC1)C1CCN(c2ncnc3ccccc23)CC1,482.55,6.01,4,1,58.12,5,5
D0001K,Cc1ccc(C(C)(C)C(=O)N[C@H]2CC[C@H](NC(=O)c3ccc(Br)cc3)CC2)cc1,457.412,5.911,2,2,58.2,5,3
D0001L,O=C(Cn1c(=O)[nH]c2cccc(F)c21)NCC1CCN(Cc2ccc(Br)cc2)CC1,475.362,3.034,4,2,70.13,6,4
D0001M,O=C(c1cnn(CC2CCN(Cc3ccccc3)CC2)c1)N1CCC[C@@H](N2Cc3ccccc3NS2(=O)=O)C1,548.713,3.213,6,1,90.78,6,6
D0001N,O=C(CC1(c2cccc(Cl)c2)CCOCC1)NCc1cc(F)c(OC2COC2)c(F)c1,451.897,3.578,4,1,56.79,7,4
D0001O,O=C(N1CCCC1)N1CCC(NC(=O)C2(Cc3ccc(F)cc3)CCC(F)(F)CC2)CC1,451.533,3.793,2,1,52.65,4,4
D0001P,COc1cccc(CC2(NC(=O)c3cccc(C(=O)NC4CCNCC4)c3)CCS(=O)(=O)CC2)c1,499.633,3.059,6,3,113.6,7,4
D0001Q,O=C(NCC1(Cc2ccccc2Cl)CC1)C1(Cc2ccc(Br)cc2)CCOCC1,476.842,5.37,2,1,38.33,7,4
D0001R,O=C(CC1(c2cccc(Br)c2)CCC1)N1CCC2(CC1)OCc1cc(Cl)ccc12,474.826,5.619,2,0,29.54,3,5
D0001S,O=C(c1cccn2c(C3CCOCC3)nnc12)N1CC(N2Cc3ccccc3NS2(=O)=O)C1,468.539,2.708,7,1,109.14,3,6
D0001T,O=C(O)c1ccc(S(=O)(=O)NC2CCN(C(=O)c3ccc(S(=O)(=O)NC4CCNCC4)cc3)CC2)cc1,550.659,1.394,7,4,161.98,8,4
D0001U,O=C(NC(CC1CCOCC1)c1cccc(F)c1)C1(Cc2cccc(Br)c2)CCOCC1,504.44,5.05,3,1,47.56,7,4
D0001V,COc1cccc(C2(CNC(=O)CC3(c4ccccc4Cl)CCOCC3)CCNCC2)c1,457.014,3.545,4,2,59.59,7,4
D0001W,NCC1(Cc2ccc(F)cc2)CCN(C(=O)C2(Cc3ccccc3)CCS(=O)(=O)CC2)CC1,472.626,3.417,4,1,80.47,6,4
D0001X,NC1CCN(Cc2cccc(C(=O)NC3CCN(Cc4cccc(C(=O)O)c4)CC3)c2)CC1,450.583,2.666,5,3,98.9,7,4
D0001Y,O=C(NCc1cc(F)c(OC2CCOCC2)c(F)c1)c1cccc(C(=O)NC2CCNCC2)c1,473.52,3.289,5,3,88.69,7,4
D0001Z,COc1ccc(NC(=O)NC2CCN(C(=O)c3c(C)nn(Cc4ccccc4OC)c3C)CC2)cc1,491.592,3.268,6,2,97.72,7,4
D00020,O=C(O)c1cccc(C(=O)N2CCC(NC(=O)c3ccnc(OCC4CCOCC4)n3)CC2)c1,468.51,1.931,7,2,130.95,7,4
D00021,O=C(Cn1c(C2CCC2)nc2c(F)cccc21)Nc1c(F)cccc1OCC1CCNCC1,454.521,3.959,5,2,68.18,7,5
D00022,CCc1nc2ccc(F)cc2n1CC(=O)N1CCC[C@H](N2Cc3ccccc3NS2(=O)=O)C1,471.558,2.435,5,1,87.54,4,5
D00023,O=C(Cn1c(=O)[nH]c2c(F)cccc21)NCC1CCN(Cc2cccc(Br)c2)CC1,475.362,3.034,4,2,70.13,6,4
D00024,COc1ccc(C2(CN)CCN(C(=O)CC3(c4ccc(OC)cc4)CCOCC3)CC2)cc1,452.595,2.59,5,1,74.02,7,4
D00025,O=C(Cn1c(C2CCOCC2)nc2cc(F)ccc21)NC(c1ccccc1F)C1CCOCC1,469.532,3.728,5,1,65.38,6,5
D00026,COc1ccccc1C1(C(=O)Nc2ccc(OCC3CCN(C)CC3)c(F)c2)CCOCC1,456.558,3.781,5,1,60.03,7,4
D00027,COc1cccc(C2(CNC(=O)C3(Cc4ccc(F)cc4)CCS(=O)(=O)CC3)CCNCC2)c1,488.625,3.024,5,2,84.5,7,4
D00028,O=C(CC1(c2cccc(Br)c2)CCNCC1)Nc1c(F)cccc1OCC1CCNCC1,504.444,3.968,4,3,62.39,7,4
D00029,O=C(O)c1cccc(S(=O)(=O)NC2CCN(C(=O)c3nccnc3OC3CCOCC3)CC2)c1,490.538,0.969,8,2,148.02,7,4
D0002A,O=C(Cn1c(C2CCOCC2)nc2cccc(F)c21)NC1(Cc2ccc(F)cc2)CCS(=O)(=O)CC1,517.598,3.522,6,1,90.29,6,5
D0002B,O=C(CC1(c2cccc(Cl)c2)CCNCC1)Nc1cc(F)c(OC2CCOCC2)c(F)c1,464.94,3.954,4,2,59.59,6,4
D0002C,COc1ccccc1CC1(C(=O)N2CCC3(CC2)Cc2c(F)cccc2NC3=O)CCOCC1,466.553,2.486,4,1,67.87,4,5
D0002D,COc1cccc(CC2(CNC(=O)c3ccc(C(=O)N4CCC(N)CC4)cc3)CCNCC2)c1,464.61,2.848,5,3,96.69,7,4
D0002E,O=C(NCC1(c2cccc(Cl)c2)CCNCC1)C1(Cc2ccccc2Cl)CCNCC1,460.449,4.056,3,3,53.16,6,4
D0002F,O=C(Nc1ccc(Br)cc1)NC1CCN(C(=O)C23CCC(C(=O)O)(CC2)C3)CC1,464.36,1.935,3,3,98.74,4,4
D0002G,COc1ccc(CC2(C(=O)NCc3ccc(OCC4(C)COC4)c(F)c3)CCS(=O)(=O)CC2)cc1,505.608,3.24,6,1,90.93,9,4
D0002H,O=C(c1cc(OCC2CCOCC2)ccn1)N1CCC[C@@H](N2Cc3ccccc3NS2(=O)=O)C1,486.594,1.719,6,1,101.07,5,5
D0002I,CC(C)c1cc2ncc(C(=O)N3CCC(N4Cc5ccccc5NS4(=O)=O)CC3)cn2n1,454.556,1.663,6,1,99.91,3,5
D0002J,O=C(NCC1CCN(Cc2ccncc2)CC1)C1(Cc2ccccc2F)CCC(F)(F)CC1,459.556,4.369,3,1,45.23,7,4
D0002K,NCC1(c2ccccc2Cl)CCN(C(=O)C2(Cc3ccc(Cl)cc3)CCS(=O)(=O)CC2)CC1,509.499,3.944,4,1,80.47,5,4
D0002L,CN1CCN(c2ccc(C(=O)N3CCC(NS(=O)(=O)c4cccc(C(=O)O)c4)CC3)nc2)CC1,487.582,1.197,7,2,123.15,6,4
D0002M,COc1ccccc1CC1(CN)CCN(C(=O)c2cnn(C3CCN(C(C)=O)CC3)c2)CC1,453.587,1.964,6,1,93.69,6,4
D0002N,COc1ccccc1CC1(C(=O)NC2CCN(Cc3ccccc3C(=O)O)CC2)CCS(=O)(=O)CC1,514.644,2.948,6,2,113.01,8,4
D0002O,O=C(Cn1c(C2CC2)nc2cc(F)ccc21)N1CCC[C@@H](N2Cc3ccccc3NS2(=O)=O)C1,483.569,2.388,5,1,87.54,4,6
D0002P,O=C(O)c1ccc(C(=O)N2CCC(NC(=O)C3CCN(c4ncnc5ccccc45)CC3)CC2)cc1,487.56,3.364,6,2,115.73,5,5
D0002Q,O=C(NC1(Cc2ccccc2F)CCS(=O)(=O)CC1)c1cnc2cc(C3CCOCC3)nn2c1,486.569,2.457,7,1,102.66,5,5
D0002R,O=C(NC(c1cccc(F)c1)C1CCC1)C1(Cc2ccccc2Cl)CCS(=O)(=O)CC1,464.002,5.215,3,1,63.24,6,4
D0002S,O=C(Cn1c(C2CCOCC2)nc2ccc(F)cc21)Nc1cc(F)ccc1OCC1CCNCC1,484.547,3.2,6,2,77.41,7,5
D0002T,COc1cccc(CC2(C(=O)N3CCC[C@@H](N4Cc5ccccc5NS4(=O)=O)C3)CCS(=O)(=O)CC2)c1,547.699,2.219,6,1,113.09,5,5
D0002U,O=C(N1CCC[C@@H](N2Cc3ccccc3NS2(=O)=O)C1)C1(Cc2ccc(F)cc2)CCOCC1,487.597,2.525,4,1,78.95,4,5
D0002V,NC1CCN(C(=O)c2cccc(C(=O)N3CCC4(CC3)N=C(c3ccc(F)cc3)NC4=O)c2)CC1,477.54,2.263,5,2,108.1,3,5
D0002W,COc1cc(C(=O)N2CCC(NC(=O)c3cccc(C(=O)O)c3)CC2)ccc1OCC1CCOCC1,496.56,3.054,6,2,114.4,8,4
D0002X,O=C(O)c1ccc(S(=O)(=O)NC2CCN(C(=O)CC3(c4ccccc4)CCNCC3)CC2)cc1,485.606,2.137,5,3,115.81,7,4
D0002Y,NC1CCN(Cc2ccccc2C(=O)NC2CCN(Cc3cccc(C(=O)O)c3)CC2)CC1,450.583,2.666,5,3,98.9,7,4
D0002Z,O=C1c2c(F)cccc2CN1[C@H]1CCCN(C(=O)C2(c3ccccc3Br)CCOCC2)C1,501.396,4.324,3,0,49.85,3,5
D00030,O=C(c1ccc2nnc(C3CCOCC3)n2c1)N1CCC[C@@H](N2Cc3ccccc3NS2(=O)=O)C1,496.593,3.424,7,1,109.14,3,6
D00031,O=C(NC1CCN(Cc2ccccc2C(=O)O)CC1)c1cc(OCC2CCOCC2)ccn1,453.539,2.448,6,2,100.99,8,4
D00032,O=C(NCC1(c2ccc(Cl)cc2)CCNCC1)C1(Cc2ccccc2)CCC(F)(F)CC1,460.996,5.417,2,2,41.13,6,4
D00033,CC(C)(C)c1cc2ncc(C(=O)N3CCC[C@@H](N4Cc5ccccc5NS4(=O)=O)C3)cn2n1,468.583,1.864,6,1,99.91,2,5
D00034,O=C(NC(c1ccccc1F)C1CCC1)C1(Cc2ccc(Br)cc2)CCOCC1,460.387,5.451,2,1,38.33,6,4
D00035,O=C(O)c1ccc(S(=O)(=O)NC2CCN(C(=O)c3ccc(CNC4CCNCC4)cc3)CC2)cc1,500.621,2.057,6,4,127.84,8,4
D00036,O=C(NC1CCNCC1)c1cccc(C(=O)NC2(Cc3ccccc3)CCS(=O)(=O)CC2)c1,469.607,3.144,5,3,104.37,6,4
D00037,O=C(c1cncc(OCC2CCOCC2)n1)N1CC(N2Cc3ccccc3NS2(=O)=O)C1,459.528,0.479,7,1,113.96,5,5
D00038,O=C(CC1(c2ccc(Br)cc2)CCOCC1)N1CCC[C@@H](N2Cc3ccccc3NS2(=O)=O)C1,548.503,3.162,4,1,78.95,4,5
D00039,Cc1nn(Cc2cccnc2)c(C)c1C(=O)N1CCC(N2Cc3ccccc3NS2(=O)=O)CC1,480.594,1.787,6,1,100.43,4,5
D0003A,O=C(CC1(c2ccc(Br)cc2)CCNCC1)NC1CCN(Cc2ccc(C(=O)O)cc2)CC1,514.464,3.695,4,3,81.67,7,4
D0003B,CN1CCN(c2cncc(C(=O)NC3CCN(C(=O)c4ccc(C(=O)O)cc4)CC3)c2)CC1,451.527,1.664,6,2,106.08,5,4
D0003C,O=C(O)c1cccc(S(=O)(=O)NC2CCN(C(=O)c3cccc(S(=O)(=O)NC4CCNCC4)c3)CC2)c1,550.659,1.394,7,4,161.98,8,4
D0003D,O=C(NC1(Cc2ccccc2F)CCS(=O)(=O)CC1)c1cncc(OCC2CCOCC2)c1,476.57,2.954,6,1,94.59,7,4
D0003E,O=C(c1cncc(OCC2CCOCC2)c1)N1CCC2(CC1)N=C(c1cccc(F)c1)NC2=O,466.513,2.16,6,1,93.12,5,5
D0003F,COc1ccccc1C1(CC(=O)N2CCC3(CC2)Cc2c(F)cccc2NC3=O)CCNCC1,465.569,2.29,4,2,70.67,4,5
D0003G,NC1CCN(Cc2ccccc2C(=O)N2CCC(NS(=O)(=O)c3cccc(C(=O)O)c3)CC2)CC1,500.621,1.906,6,3,133.04,7,4
D0003H,O=C(O)c1ccc(C(=O)NC2CCN(C(=O)c3ccncc3OCC3CCOCC3)CC2)cc1,467.522,2.155,6,2,118.06,7,4
D0003I,O=C(c1cnc(OC2CCOCC2)nc1)N1CCC[C@@H](N2Cc3ccccc3NS2(=O)=O)C1,473.555,1.122,7,1,113.96,4,5
D0003J,O=C(N1CCC(N2Cc3ccccc3NS2(=O)=O)CC1)C1(Cc2ccc(Br)cc2)CCOCC1,548.503,3.162,4,1,78.95,4,5
D0003K,Cc1cccc(C2(CC(=O)N[C@H]3CC[C@H](NC(=O)c4ccc(Br)cc4)CC3)CCC2)c1,483.45,6.301,2,2,58.2,6,4
D0003L,O=C(NC(c1ccccc1)C1CCOCC1)C1(Cc2ccccc2Br)CCOCC1,472.423,4.531,3,1,47.56,6,4
D0003M,COc1ccccc1CC1(CNC(=O)C2(Cc3ccc(Br)cc3)CCOCC2)CCNCC1,515.492,4.277,4,2,59.59,8,4
D0003N,O=C(CC1(c2ccc(Br)cc2)CCC1)NCC1CCN(Cc2ccc(Cl)cc2)CC1,489.885,6.274,2,1,32.34,7,4
D0003O,O=C(NCC1(Cc2cccc(F)c2)CCOCC1)c1ccn2c(C3CCOCC3)nnc2c1,452.53,4.981,6,1,77.75,6,5
D0003P,COc1cc(C(=O)NCC2(Cc3ccc(F)cc3)CCOCC2)ccc1OCC1CCOCC1,471.569,4.086,5,1,66.02,9,4
D0003Q,O=C(NCc1cc(F)c(OC2CCOCC2)c(F)c1)c1ccn2c(C3CCOCC3)nnc2c1,472.492,4.732,7,1,86.98,6,5
D0003R,O=C(NCC1CCN(C(=O)c2ccc(F)cc2)CC1)c1ncccc1OCC1CCOCC1,455.53,2.985,5,1,80.76,7,4
D0003S,COc1ccccc1CC1(CN)CCN(C(=O)C2(Cc3ccccc3OC)CCS(=O)(=O)CC2)CC1,514.688,3.086,6,1,98.93,8,4
D0003T,O=C(NCc1ccnc(OCC2CCOCC2)n1)c1ccc(C(=O)NC2CCNCC2)cc1,453.543,1.686,7,3,114.47,8,4
D0003U,COc1ccccc1C1=NC2(CCN(C(=O)C3(Cc4cccnc4)CCNCC3)CC2)C(=O)N1,461.566,1.2,6,2,95.92,5,5
D0003V,NC1CCN(Cc2ccc(C(=O)N3CC(N4Cc5ccccc5NS4(=O)=O)C3)cc2)CC1,455.584,1.221,5,2,98.98,4,5
D0003W,O=C(N1CCC2(CC1)C(=O)Nc1ccc(Br)cc12)C1(Cc2cccc(Cl)c2)CCNCC1,516.867,3.895,3,2,61.44,3,5
D0003X,O=C(NCC1(Cc2ccc(F)cc2)CCOCC1)C1(Cc2ccc(Br)cc2)CCOCC1,504.44,4.719,3,1,47.56,7,4
D0003Y,NC1CCN(C(=O)c2ccc(C(=O)N3CCCCn4c(C5CCOCC5)nnc43)cc2)CC1,452.559,3.966,7,1,106.58,3,5
D0003Z,COc1ccccc1CC1(C(=O)NCc2ccc(OC3CCOCC3)c(F)c2)CCNCC1,456.558,3.23,5,2,68.82,8,4
